lemma,pos,cefr_level,cefr_source,frequency_rank,topic_hint,in_tsl,tsl_rank,ngsl_rank,bsl_rank
craving,noun,C1,octanove,,,no,,,
creamy,adjective,C1,octanove,,,no,,,
credibly,adverb,C1,octanove,,,no,,,
crudely,adverb,C1,octanove,,,no,,,
crumb,noun,C1,octanove,,,no,,,
crumble,verb,C1,octanove,,,no,,,
customary,adjective,C1,octanove,,,no,,,
cynic,noun,C1,octanove,,,no,,,
cynical,adjective,C1,octanove,,,no,,,
cynically,adverb,C1,octanove,,,no,,,
cynicism,noun,C1,octanove,,,no,,,
damply,adverb,C1,octanove,,,no,,,
darkroom,noun,C1,octanove,,,no,,,
daunt,verb,C1,octanove,,,no,,,
daunting,adjective,C1,octanove,,,no,,,
daydream,noun,C1,octanove,,,no,,,
daydream,verb,C1,octanove,,,no,,,
debut,noun,C1,octanove,,,no,,,
debut,verb,C1,octanove,,,no,,,
deceit,noun,C1,octanove,,,no,,,
degradation,noun,C1,octanove,,,no,,,
degrade,verb,C1,octanove,,,no,,,
degrading,adjective,C1,octanove,,,no,,,
demo,noun,C1,octanove,,,no,,,
demographically,adverb,C1,octanove,,,no,,,
demography,noun,C1,octanove,,,no,,,
demolition,noun,C1,octanove,,,no,,,
depiction,noun,C1,octanove,,,no,,,
deprivation,noun,C1,octanove,,,no,,,
descent,noun,C1,octanove,,,no,,,
desertion,noun,C1,octanove,,,no,,,
detest,verb,C1,octanove,,,no,,,
detestable,adjective,C1,octanove,,,no,,,
detriment,noun,C1,octanove,,,no,,,
detrimental,adjective,C1,octanove,,,no,,,
detrimentally,adverb,C1,octanove,,,no,,,
detritus,noun,C1,octanove,,,no,,,
devotee,noun,C1,octanove,,,no,,,
digitalization,noun,C1,octanove,,,no,,,
digitalize,verb,C1,octanove,,,no,,,
discourse,noun,C1,octanove,,,no,,,
disdain,noun,C1,octanove,,,no,,,
disillusionment,noun,C1,octanove,,,no,,,
dislodge,verb,C1,octanove,,,no,,,
dismally,adverb,C1,octanove,,,no,,,
dismay,verb,C1,octanove,,,no,,,
dismay,noun,C1,octanove,,,no,,,
dispensary,noun,C1,octanove,,,no,,,
dispense,verb,C1,octanove,,,no,,,
disquieting,adjective,C1,octanove,,,no,,,
dissect,verb,C1,octanove,,,no,,,
dissection,noun,C1,octanove,,,no,,,
dither,verb,C1,octanove,,,no,,,
diverge,verb,C1,octanove,,,no,,,
divergence,noun,C1,octanove,,,no,,,
divergent,adjective,C1,octanove,,,no,,,
docile,adjective,C1,octanove,,,no,,,
docilely,adverb,C1,octanove,,,no,,,
domestically,adverb,C1,octanove,,,no,,,
domesticate,verb,C1,octanove,,,no,,,
domestication,noun,C1,octanove,,,no,,,
dominantly,adverb,C1,octanove,,,no,,,
domination,noun,C1,octanove,,,no,,,
dramatist,noun,C1,octanove,,,no,,,
dutiful,adjective,C1,octanove,,,no,,,
dutifully,adverb,C1,octanove,,,no,,,
dynamically,adverb,C1,octanove,,,no,,,
eccentric,adjective,C1,octanove,,,no,,,
eccentric,noun,C1,octanove,,,no,,,
eccentrically,adverb,C1,octanove,,,no,,,
eclectic,adjective,C1,octanove,,,no,,,
eclectic,noun,C1,octanove,,,no,,,
eclectically,adverb,C1,octanove,,,no,,,
ecstatically,adverb,C1,octanove,,,no,,,
effortless,adjective,C1,octanove,,,no,,,
ego,noun,C1,octanove,,,no,,,
elaboration,noun,C1,octanove,,,no,,,
elevation,noun,C1,octanove,,,no,,,
elitist,noun,C1,octanove,,,no,,,
elongate,verb,C1,octanove,,,no,,,
elude,verb,C1,octanove,,,no,,,
elusive,adjective,C1,octanove,,,no,,,
embark,verb,C1,octanove,,,no,,,
engross,verb,C1,octanove,,,no,,,
engrossing,adjective,C1,octanove,,,no,,,
enormously,adverb,C1,octanove,,,no,,,
enterprising,adjective,C1,octanove,,,no,,,
enviable,adverb,C1,octanove,,,no,,,
envisage,verb,C1,octanove,,,no,,,
ethically,adverb,C1,octanove,,,no,,,
evoke,verb,C1,octanove,,,no,,,
ewe,noun,C1,octanove,,,no,,,
exhibitionist,noun,C1,octanove,,,no,,,
exhilarate,verb,C1,octanove,,,no,,,
exhilarating,adjective,C1,octanove,,,no,,,
exhilaration,noun,C1,octanove,,,no,,,
exodus,noun,C1,octanove,,,no,,,
exotically,adverb,C1,octanove,,,no,,,
exploitation,noun,C1,octanove,,,no,,,
explosively,adverb,C1,octanove,,,no,,,
exterior,noun,C1,octanove,,,no,,,
extortion,noun,C1,octanove,,,no,,,
extravagance,noun,C1,octanove,,,no,,,
exuberance,noun,C1,octanove,,,no,,,
exuberant,adjective,C1,octanove,,,no,,,
exuberantly,adverb,C1,octanove,,,no,,,
fabulously,adverb,C1,octanove,,,no,,,
facial,adjective,C1,octanove,,,no,,,
facial,noun,C1,octanove,,,no,,,
facilitation,noun,C1,octanove,,,no,,,
fanatic,noun,C1,octanove,,,no,,,
fanatic,adjective,C1,octanove,,,no,,,
fanatically,adverb,C1,octanove,,,no,,,
fanciful,adjective,C1,octanove,,,no,,,
farce,noun,C1,octanove,,,no,,,
fatality,noun,C1,octanove,,,no,,,
favorably,adverb,C1,octanove,,,no,,,
ferocious,adjective,C1,octanove,,,no,,,
ferociously,adverb,C1,octanove,,,no,,,
fiddle,verb,C1,octanove,,,no,,,
fiddle,noun,C1,octanove,,,no,,,
fiddler,noun,C1,octanove,,,no,,,
fiddly,adjective,C1,octanove,,,no,,,
fiend,noun,C1,octanove,,,no,,,
fiendish,adjective,C1,octanove,,,no,,,
fiendishly,adverb,C1,octanove,,,no,,,
fiercely,adverb,C1,octanove,,,no,,,
firewall,noun,C1,octanove,,,no,,,
fissure,noun,C1,octanove,,,no,,,
flashback,noun,C1,octanove,,,no,,,
flask,noun,C1,octanove,,,no,,,
flatter,verb,C1,octanove,,,no,,,
flattery,noun,C1,octanove,,,no,,,
flick,verb,C1,octanove,,,no,,,
flicker,noun,C1,octanove,,,no,,,
folktale,noun,C1,octanove,,,no,,,
forensic,adjective,C1,octanove,,,no,,,
forfeit,verb,C1,octanove,,,no,,,
formality,noun,C1,octanove,,,no,,,
fossil,noun,C1,octanove,,,no,,,
fragmentation,noun,C1,octanove,,,no,,,
frost,verb,C1,octanove,,,no,,,
frostily,adverb,C1,octanove,,,no,,,
frosty,adjective,C1,octanove,,,no,,,
fuse,verb,C1,octanove,,,no,,,
fusion,noun,C1,octanove,,,no,,,
gadget,noun,C1,octanove,,,no,,,
gamely,adverb,C1,octanove,,,no,,,
gape,verb,C1,octanove,,,no,,,
gem,noun,C1,octanove,,,no,,,
genome,noun,C1,octanove,,,no,,,
geological,adjective,C1,octanove,,,no,,,
geologically,adverb,C1,octanove,,,no,,,
ghostly,adjective,C1,octanove,,,no,,,
gig,noun,C1,octanove,,,no,,,
glean,verb,C1,octanove,,,no,,,
glum,adjective,C1,octanove,,,no,,,
glumly,adverb,C1,octanove,,,no,,,
gnaw,verb,C1,octanove,,,no,,,
goose,noun,C1,octanove,,,no,,,
